Tree 1,,,,,,
Sensor 1,Sensor 2,Sensor 3,Sensor 4,Average,Temp(From Image),Moisture Meter
81,67,87,80,78,-1.5,8
81,67,87,80,78,-1.5,8
82,67,87,80,79,-1.5,8
82,67,87,80,79,-1.5,8
82,67,87,80,79,-1.5,8
81,67,87,80,78,-1.5,8
81,67,87,80,78,-1.5,8
82,67,87,80,79,-1.5,8
82,67,87,80,79,-1.5,8
82,67,87,80,79,-1.5,8
82,67,87,80,79,-1.5,8
82,67,87,80,79,-1.5,8
82,67,87,80,79,-1.5,8
82,67,87,80,79,-1.5,8
Tree 2,,,,,,
Sensor 1,Sensor 2,Sensor 3,Sensor 4,Average,Temp(From Image),Moisture Meter
89,85,83,54,77,7.3,6
88,85,83,54,77,7.3,6
88,85,83,54,77,7.3,6
88,85,83,54,77,7.3,6
88,85,83,54,77,7.3,6
88,85,83,54,77,7.3,6
88,85,83,54,77,7.3,6
88,86,83,54,77,7.3,6
88,86,83,54,77,7.3,6
88,86,83,54,77,7.3,6
88,86,83,54,77,7.3,6
Tree 3,,,,,,
Sensor 1,Sensor 2,Sensor 3,Sensor 4,Average,Temp(From Image),Moisture Meter
91,91,82,80,86,-0.97,6
91,91,82,80,86,-0.97,6
91,91,82,81,86,-0.97,6
91,91,82,81,86,-0.97,6
91,91,82,81,86,-0.97,6
91,91,82,81,86,-0.97,6
91,91,83,81,86,-0.97,6
91,91,83,81,86,-0.97,6
91,91,83,81,86,-0.97,6
91,91,83,81,86,-0.97,6
91,91,83,81,86,-0.97,6
91,91,83,81,86,-0.97,6
91,92,83,81,86,-0.97,6
91,92,83,81,86,-0.97,6
91,92,83,81,86,-0.97,6
91,92,83,81,86,-0.97,6
91,92,83,81,86,-0.97,6
91,92,83,81,86,-0.97,6
91,92,83,81,86,-0.97,6
91,92,83,81,86,-0.97,6
91,92,83,81,86,-0.97,6
91,92,83,81,86,-0.97,6
91,92,83,81,86,-0.97,6
91,92,83,81,86,-0.97,6
91,92,83,81,86,-0.97,6
91,92,83,81,86,-0.97,6
91,92,83,81,86,-0.97,6
91,92,83,81,86,-0.97,6
91,92,83,81,86,-0.97,6
91,92,83,81,86,-0.97,6
91,92,83,81,86,-0.97,6
91,92,83,81,86,-0.97,6
91,92,83,81,86,-0.97,6
91,92,83,82,87,-0.97,6
