Tree 1,,,,,,
Sensor 1,Sensor 2,Sensor 3,Sensor 4,Average,Temp(from image),Moisture Meter
100,89,92,102,95,-5.5,10
100,89,92,102,95,-5.5,10
100,89,92,102,95,-5.5,10
100,89,92,102,95,-5.5,10
100,89,92,102,95,-5.5,10
100,89,92,102,95,-5.5,10
100,89,92,102,95,-5.5,10
100,89,92,102,95,-5.5,10
100,89,92,102,95,-5.5,10
100,89,92,102,95,-5.5,10
100,89,92,102,95,-5.5,10
100,89,92,102,95,-5.5,10
100,89,92,102,95,-5.5,10
100,89,92,102,95,-5.5,10
100,89,92,102,95,-5.5,10
100,89,92,102,95,-5.5,10
100,89,92,102,95,-5.5,10
100,89,92,102,95,-5.5,10
100,89,92,102,95,-5.5,10
100,90,92,102,96,-5.5,10
100,90,92,102,96,-5.5,10
100,90,92,102,96,-5.5,10
100,90,92,102,96,-5.5,10
100,90,92,102,96,-5.5,10
100,90,92,102,96,-5.5,10
100,90,92,102,96,-5.5,10
100,90,92,102,96,-5.5,10
100,90,92,102,96,-5.5,10
100,90,92,102,96,-5.5,10
100,90,92,102,96,-5.5,10
100,90,92,102,96,-5.5,10
Tree 2,,,,,,
Sensor 1,Sensor 2,Sensor 3,Sensor 4,Average,Temp(from image),Moisture Meter
93,99,92,100,97,-4,6
93,99,92,100,97,-4,6
93,99,92,100,97,-4,6
93,99,92,100,97,-4,6
93,99,92,100,97,-4,6
93,99,92,100,97,-4,6
94,99,92,100,97,-4,6
94,99,92,100,97,-4,6
94,99,92,100,97,-4,6
94,99,92,100,97,-4,6
94,99,92,100,97,-4,6
94,99,92,100,97,-4,6
94,99,92,100,97,-4,6
94,99,92,100,97,-4,6
94,99,92,100,97,-4,6
94,99,92,100,97,-4,6
94,99,92,100,97,-4,6
94,99,92,100,97,-4,6
94,99,92,100,97,-4,6
94,99,92,100,97,-4,6
94,99,92,100,97,-4,6
94,99,92,100,97,-4,6
94,99,92,100,97,-4,6
94,99,92,100,97,-4,6
94,99,92,100,97,-4,6
94,99,92,100,97,-4,6
94,99,92,100,97,-4,6
94,99,92,100,98,-4,6
94,99,92,100,98,-4,6
94,99,92,100,98,-4,6
94,99,92,100,98,-4,6
94,99,92,100,98,-4,6
94,99,92,100,98,-4,6
94,99,92,100,98,-4,6
94,99,92,100,98,-4,6
94,99,92,100,98,-4,6
94,99,92,100,98,-4,6
94,99,92,100,98,-4,6
94,99,92,100,98,-4,6
94,99,92,100,98,-4,6
94,99,92,100,98,-4,6
94,99,92,100,98,-4,6
94,99,92,100,98,-4,6
94,99,92,100,98,-4,6
94,99,92,100,98,-4,6
94,99,92,100,98,-4,6
94,99,92,100,98,-4,6
94,99,92,100,98,-4,6
94,99,92,100,98,-4,6
94,99,92,100,98,-4,6
94,99,92,100,98,-4,6
94,99,92,100,98,-4,6
94,99,92,100,98,-4,6
94,99,92,100,98,-4,6
Tree 3,,,,,,
Sensor 1,Sensor 2,Sensor 3,Sensor 4,Average,Temp(from image),Moisture Meter
95,92,95,94,94,-3.7,9
95,92,95,94,94,-3.7,9
95,92,95,94,94,-3.7,9
95,92,95,94,94,-3.7,9
95,92,95,94,94,-3.7,9
95,92,95,94,94,-3.7,9
95,92,95,94,94,-3.7,9
95,92,95,94,94,-3.7,9
96,92,95,94,94,-3.7,9
96,92,95,94,94,-3.7,9
96,92,95,95,94,-3.7,9
96,92,95,95,94,-3.7,9
96,92,95,95,94,-3.7,9
96,92,95,95,94,-3.7,9
96,92,95,95,94,-3.7,9
96,92,95,95,94,-3.7,9
96,92,95,95,94,-3.7,9
96,92,96,95,94,-3.7,9
96,92,95,95,94,-3.7,9
96,92,96,95,94,-3.7,9
96,92,96,95,94,-3.7,9
96,92,96,95,94,-3.7,9
96,92,96,95,94,-3.7,9
96,92,96,95,94,-3.7,9
