MQ135,MQ9,MQ2
515,147,153
515,144,152
515,145,152
513,147,149
516,146,152
512,141,152
511,143,152
513,139,151
513,142,150
511,144,151
511,145,153
510,145,150
510,145,149
511,144,149
511,145,149
512,144,150
511,144,149
509,143,149
509,142,149
509,143,149
508,143,148
508,142,149
508,142,150
508,143,149
510,143,149
509,142,149
508,143,151
508,143,149
509,142,149
509,142,149
508,143,149
508,143,149
507,141,150
507,136,149
507,140,149
506,142,150
506,142,149
506,141,149
507,142,149
506,142,150
507,143,149
506,141,150
506,142,149
506,142,150
507,142,149
507,142,149
507,142,150
508,141,151
507,141,150
507,141,151
509,141,151
507,140,152
506,140,150
508,141,151
506,143,150
505,142,150
507,142,150
506,142,149
507,141,150
505,142,151
505,141,150
504,141,150
506,141,147
506,139,149
505,140,149
503,141,148
503,140,147
502,139,148
504,141,148
501,139,148
501,139,147
503,138,149
503,140,149
502,139,149
502,139,148
502,138,148
504,137,148
501,138,149
501,138,147
502,140,147
502,141,149
501,140,148
502,139,149
502,139,149
503,139,148
502,140,148
502,130,148
