MQ135,MQ9,MQ2,CO,CO2
607,201,220,,
605,199,218,,
603,198,216,,
603,198,215,,
602,195,216,,
600,196,213,,
599,195,213,,
598,194,212,,
597,194,211,,
596,193,211,,
595,192,209,,
592,190,209,,
593,191,209,,
592,189,209,,
591,189,208,,
590,189,209,,
590,188,207,,
589,189,206,,
587,188,206,,
588,186,206,,
586,186,204,,
586,186,206,,
584,185,204,,
584,185,204,,
582,183,202,,
581,185,203,,
581,183,202,,
581,182,202,,
580,182,201,,
578,182,201,,
578,180,200,,
578,179,201,,
576,179,200,,
575,179,199,,
574,178,198,,
574,176,197,,
574,178,198,,
573,178,199,,
572,176,198,,
571,177,198,,
572,176,197,,
571,176,195,,
570,176,195,,
570,175,197,,
570,174,195,,
569,173,196,,
569,174,195,,
568,175,195,,
567,174,195,,
567,174,195,,
566,172,195,,
566,173,197,,
566,173,194,,
566,171,194,,
565,172,195,,
564,173,193,,
565,171,193,,
565,174,193,,
563,171,193,,
563,171,193,,
564,171,193,,
562,170,192,,
563,170,192,,
561,171,191,,
561,170,193,,
560,171,191,,
560,170,191,,
559,171,190,,
559,170,190,,
559,169,190,,
557,168,190,,
558,169,188,,
556,169,189,,
556,167,188,,
556,169,188,,
555,168,188,,
556,168,188,,
555,167,189,,
554,167,188,,
553,168,187,,
554,167,187,,
552,166,187,,
553,166,187,,
552,166,186,,
551,166,185,,
552,165,187,,
552,165,185,,
551,165,185,,
551,164,184,,
550,164,186,,
550,165,185,,
551,165,187,,
550,164,184,,
549,164,185,,
548,165,185,,
548,165,184,,
548,164,184,,
548,162,182,,
547,163,183,,
547,163,184,,
546,162,182,,
546,163,182,,
546,165,183,,
545,163,185,,
545,162,183,,
545,163,182,,
545,162,182,,
544,161,183,,
544,163,182,,
544,161,183,,
544,162,182,,
545,162,182,,
544,162,182,,
543,162,182,,
543,160,182,,
