#!,Workbook:,Custom,Custom
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.,,
#!,For more information visit http://aka.ms/hackingstem/,,
Temp,Pressure,Altitude,Humidity
4.9,99819,126.15,66
4.9,99819,126.65,66
4.9,99810,126.91,66
4.9,99823,126.15,66
4.9,99822,126.32,66
4.9,99810,127.07,66
4.9,99820,125.56,66
4.9,99809,126.65,66
4.9,99819,126.32,66
4.9,99820,125.81,66
4.9,99812,126.91,66
4.9,99819,126.74,66
4.9,99817,125.64,66
4.9,99821,126.15,66
4.9,99821,126.32,66
4.9,99818,125.98,66
4.9,99812,126.15,66
4.9,99817,125.98,66
4.9,99823,126.74,66
4.9,99818,126.91,66
4.9,99822,125.98,66
4.9,99825,125.89,66
4.9,99808,126.32,66
4.9,99821,125.81,66
4.9,99822,126.23,66
4.9,99820,126.65,66
4.9,99820,125.98,66
4.9,99811,126.23,66
4.9,99821,125.98,66
4.9,99809,126.74,66
4.9,99821,126.06,66
4.8,99823,125.98,66
4.8,99825,125.64,66
4.8,99824,125.64,65
4.8,99825,125.73,65
4.8,99819,125.64,65
4.8,99806,126.99,65
4.8,99824,126.23,65
4.7,99813,125.89,65
4.7,99819,126.32,65
4.7,99810,126.15,65
4.7,99824,126.99,65
4.7,99832,125.56,65
4.7,99825,126.32,65
4.7,99809,126.74,65
4.7,99821,126.32,65
4.6,99822,126.15,65
4.6,99825,126.15,65
4.6,99817,126.74,65
4.6,99807,126.82,65
4.6,99819,125.98,65
4.6,99826,125.81,65
4.6,99813,126.91,65
4.6,99818,126.74,65
4.6,99807,126.74,65
4.5,99812,126.06,65
4.5,99818,126.74,65
4.5,99818,125.89,65
4.5,99821,126.06,65
4.5,99812,126.82,65
4.5,99823,126.23,65
4.5,99819,126.91,65
4.5,99809,126.74,65
4.5,99817,126.74,65
4.5,99818,125.89,65
4.5,99809,126.99,65
4.5,99819,126.23,65
4.5,99819,126.15,65
4.5,99817,125.98,65
4.5,99821,126.91,64
4.5,99819,126.91,64
4.5,99824,126.23,64
4.5,99813,126.06,64
4.5,99828,125.64,64
4.5,99811,125.98,64
4.5,99819,127.07,64
4.5,99811,125.64,64
4.5,99820,125.73,64
4.5,99811,125.56,64
4.5,99811,127.5,64
4.5,99813,126.15,65
4.5,99809,126.06,65
4.5,99813,126.82,65
4.5,99820,127.16,65
4.4,99811,125.81,65
4.5,99803,127.75,65
4.5,99810,126.15,65
4.4,99817,126.32,65
4.4,99823,126.23,65
4.4,99811,126.65,65
4.4,99818,126.65,65
4.4,99819,125.98,65
4.4,99809,126.82,65
4.3,99808,127.07,65
4.3,99825,126.99,65
4.3,99812,126.65,65
4.4,99820,125.56,65
4.3,99819,125.89,65
4.3,99817,125.98,65
4.3,99830,125.64,65
4.3,99831,125.56,65
4.3,99818,126.32,65
4.3,99824,126.15,65
4.3,99818,127.07,65
4.3,99831,125.05,65
4.3,99830,125.56,65
4.3,99822,126.23,65
4.3,99817,126.06,65
4.2,99812,126.65,65
4.2,99826,125.98,65
4.2,99820,126.06,65
4.2,99820,126.23,65
4.2,99822,126.15,65
4.2,99824,126.15,65
4.2,99823,125.98,65
4.2,99823,125.98,65
4.2,99819,126.82,65
4.2,99819,125.73,65
4.2,99807,126.74,65
4.2,99811,126.15,65
4.2,99820,125.81,65
4.2,99824,126.23,65
