Temperature,Pressure,Altitude,Humidity
12.5,98686,222.92,39
12.5,98680,222.92,39
12.4,98672,222.24,39
12.4,98672,223.43,39
12.4,98680,222.75,39
12.5,98681,222.5,40
12.5,98677,222.58,40
12.4,98681,223.09,40
12.3,98672,223.18,40
12.3,98680,221.56,40
12.3,98681,222.15,40
12.2,98676,222.41,40
12,98675,222.84,41
11.9,98670,223.6,41
11.9,98663,223.43,41
11.9,98670,223.6,41
11.9,98673,223.01,41
11.8,98670,223.09,41
11.7,98677,223.35,41
11.7,98706,220.62,41
11.6,98693,220.71,41
11.5,98670,223.94,41
11.6,98675,222.66,41
11.6,98667,223.77,41
11.6,98673,222.92,41
11.6,98669,223.18,42
11.6,98675,223.26,42
11.6,98678,223.26,42
11.5,98672,222.84,42
11.4,98664,223.43,42
11.5,98717,219.09,42
11.3,98667,223.35,43
11.4,98695,220.03,43
11.4,98712,219.94,43
11.2,98669,222.92,43
11.3,98675,223.35,43
11.3,98664,224.03,43
11.3,98671,223.86,43
11.3,98664,224.28,43
11.4,98666,223.18,43
11.4,98666,223.52,44
11.4,98664,223.52,44
11.4,98663,224.03,44
11.4,98666,223.86,44
11.4,98662,224.71,44
11.5,98667,223.52,44
11.5,98663,223.26,44
11.5,98657,223.77,44
11.5,98666,223.43,44
11.5,98658,223.6,44
11.5,98675,223.26,44
11.5,98671,223.52,45
11.5,98675,223.52,45
11.5,98676,223.52,45
11.5,98676,222.92,45
11.5,98674,222.5,45
11.5,98677,222.58,45
11.5,98686,222.5,45
11.5,98691,221.9,45
11.5,98692,221.3,45
11.4,98685,222.15,45
11.4,98675,222.33,46
11.4,98684,222.5,46
11.4,98686,221.9,46
11.3,98681,222.5,46
11.3,98688,222.15,46
11.4,98720,218.92,46
11.3,98715,219.52,46
11.3,98721,-6945.83,46
16.5,220635,-4682.72,46
16,98660,223.94,47
14.2,98633,226.49,47
13.2,98592,226.92,47
12.5,98630,223.6,47
12.1,218170,-4682.72,47
12.2,98664,223.01,47
12.3,98665,224.11,47
11.8,98714,202.36,47
11.8,98677,233.98,47
10.6,98744,221.48,47
11.9,98677,223.69,47
10.3,98367,244.72,47
11.6,98665,224.71,47
0.9,98479,217.99,47
6.4,98548,228.37,47
11.7,98656,220.2,47
11.9,98692,220.96,47
11.9,98695,220.88,47
11.8,98710,219.86,47
11.7,98732,218.58,47
11.4,98715,219.18,47
9.4,98704,220.62,49
9.4,98712,220.03,49
9.4,98709,219.6,49
9.4,98710,220.28,49
9.4,98707,220.03,49
9.4,98719,220.03,49
9.4,98720,219.52,49
9.3,98706,219.77,49
9.3,98709,220.28,49
9.3,98711,220.11,49
9.3,98719,219.09,49
9.5,98746,216.97,49
9.6,98733,217.99,50
9.5,98717,218.58,50
9.4,98719,219.01,50
9.2,98732,217.9,50
9.1,98728,218.75,50
9.1,98714,220.2,50
8.9,98733,218.5,50
8.7,98729,218.41,50
8.7,98727,218.92,50
8.7,98727,218.84,50
8.7,98725,218.33,50
8.7,98728,217.82,50
8.7,98731,218.58,50
8.7,98726,218.67,50
8.7,98721,218.41,50
8.7,98720,218.84,50
8.7,98734,218.16,50
8.6,98730,218.84,50
8.5,98731,218.24,50
8.5,98732,218.92,50
8.5,98724,218.75,50
8.5,98724,218.84,50
8.4,98714,219.01,50
8.3,98728,218.67,50
8.3,98726,218.58,50
8.3,98720,219.35,50
8.3,98724,218.92,50
8.3,98720,219.01,50
8.2,98725,218.75,50
8.2,98727,219.18,50
8.2,98732,218.16,50
8.2,98724,219.43,50
8.2,98724,218.75,50
8.2,98728,219.01,50
8.3,98722,218.24,50
8.3,98722,219.26,50
8.3,98723,219.26,50
8.3,98727,219.01,50
8.3,98726,218.58,50
8.4,98726,218.67,50
8.4,98725,218.16,50
8.4,98721,218.75,50
8.4,98735,218.5,50
8.4,98725,218.16,50
8.3,98713,219.09,50
8.3,98724,218.84,50
8.3,98725,218.75,51
8.3,98718,219.01,51
8.3,98718,219.26,51
8.3,98724,218.33,51
8.3,98728,218.84,51
8.3,98713,219.6,51
8.3,98723,218.5,51
